Hyb_Signal_GREEN,Assay_Signal_GREEN_maxLigand,Assay_Signal_GREEN_almostMaxLigand,Assay_Signal_RED_maxLigand,Assay_Signal_RED_almostMaxLigand
20737.75998,12111,13929.33333,2537.833333,483.6666667
22155.28819,13794.5,15512.33333,1998.5,379
22390.63392,13892.5,15651,2202.166667,446.6666667
22690.3808,14098.5,15248.66667,2081.2,414.8
19712.90964,9584,12337.66667,2273,383
22891.97581,11112.66667,13927.66667,2520.666667,357.3333333
23084.32777,11345.16667,13699,2769.6,449.3333333
18660.81771,7255,10643.33333,2239.833333,344.8
21282.79324,11377.16667,13718.16667,2310.833333,587.8333333
25369.10034,15636.33333,17756.66667,2221,540.4
24562.67712,16142.83333,15784.33333,2337.5,481.8
25889.4882,17976.83333,19227,1979.333333,449.8333333
24676.64122,15961,18234.5,2272.166667,484
20769.3024,12259.16667,13099.5,2073.833333,454
18407.15313,9546.5,11885.83333,2273.25,291.8
14498.48465,5941.833333,7444,2466,504.5
12115.26294,4062,5059.833333,2345.666667,444.3333333
10125.30737,3170.333333,4004.5,2385.666667,419.8333333
13705.4611,5721.5,6556.5,2690,607.8333333
9837.171836,3340.666667,4544.166667,2515.833333,504.1666667
28245.84935,14714.33333,17537.83333,2677.6,470
26353.29893,14635.16667,16248.16667,2254.666667,394
28394.4113,16797.16667,19023,2024.833333,366.8333333
26752.70289,16399.83333,17116.33333,2083,445
25932.6873,17531,18849.16667,3350.666667,500.5
24310.20423,15839.5,17513.16667,2371.666667,461.5
23849.48658,15245.66667,17169.33333,2235.5,452.8
24057.86798,14834.66667,17204.5,2293,347.1666667
27496.36857,16622.83333,18863,2264.333333,387.8333333
25801.45226,13885.5,17169,2409.5,383.8333333
27557.29474,16071.5,19154.5,2095,365.1666667
26218.16071,14696.33333,17863.33333,2577.2,414
23455.16994,12575.66667,14776.33333,2442.5,506
26081.85792,16075.66667,17210.5,2514,530.1666667
28388.41564,19338.33333,20728.33333,2460,395.6666667
29905.63293,22347.33333,23193,2065.166667,647
25651.75659,17587.33333,18835.5,2259,378.8333333
26899.19547,19213.66667,19718.33333,2196,502
20567.17618,12025,13418.5,1952.333333,381.1666667
21963.04723,13116,14404.66667,2064,504.4
21441.51606,12185.5,11900,2482.666667,361.8333333
14180.04443,5143.333333,6447.666667,2876.2,448.1666667
15511.21465,6832.833333,7611,2697.5,436
15642.92361,6515.333333,7493.833333,2443.5,484.8
31463.96828,19338.66667,21004.5,2685.5,420.5
28838.50272,18029.83333,18923.83333,2316.666667,446.3333333
31572.01507,21983.66667,22529.66667,1962.333333,382.6666667
30239.33014,21493.16667,22158.83333,2064.666667,403.3333333
27950.31518,19602.66667,21183.33333,3089.5,500.2
26213.47704,18106.83333,18795.5,2376.666667,432.6666667
26877.49858,17960.83333,19362.83333,2045.6,394
28236.03472,17623.66667,19658.66667,2281.333333,426.5
